176.0
4/4
FullName,CommonName,Length,Offset
Chord {D in octave 5 | C in octave 4 | E in octave 6 | A in octave 6 | A in octave 5 | D in octave 6} Quarter tied to 16th (1 1/4 total QL),A6-perfect-fourth minor tetrachord,1.25,8.0
Chord {G in octave 3 | A in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),A3-interval class 2,5/3,9.666666666666666
Chord {A in octave 3 | C-sharp in octave 4 | E in octave 5} Dotted Eighth,A3-major triad,0.75,14.0
Chord {E-flat in octave 5 | C-sharp in octave 5} Dotted Eighth,C#5-interval class 2,0.75,22.0
Chord {G in octave 4 | A in octave 3 | A in octave 5} 16th,A3-interval class 2,0.25,23.0
Chord {F in octave 4 | D in octave 4 | B in octave 3 | G-sharp in octave 5 | B in octave 5 | D in octave 6} 16th,G#5-diminished seventh chord,0.25,27.666666666666668
Chord {C in octave 4 | E in octave 4 | G in octave 4 | A in octave 3 | G in octave 5 | A in octave 5} Half Triplet (1 1/3 QL),A3-minor seventh chord,4/3,72.0
Chord {C-sharp in octave 4 | G in octave 5} Quarter,C#4-tritone,1.0,78.0
Chord {C in octave 4 | D in octave 3} Quarter,D3-interval class 2,1.0,80.0
Chord {E-flat in octave 4 | A in octave 3} Quarter,A3-tritone,1.0,85.75
Chord {D in octave 4 | G-sharp in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),G#3-tritone,10/3,92.66666666666667
Chord {C in octave 3 | A in octave 3} 16th,A3-interval class 3,0.25,96.66666666666667
Chord {C in octave 5 | G-sharp in octave 4} 16th,C5-interval class 4,0.25,97.66666666666667
Chord {A in octave 3 | C in octave 4 | D in octave 4} 16th,D4-incomplete dominant-seventh chord,0.25,112.5
Chord {F in octave 5 | F in octave 4} 16th,F5-unison,0.25,118.66666666666667
Chord {F in octave 4 | F in octave 5} Eighth Triplet (1/3 QL),F4-unison,1/3,119.0
Chord {D in octave 3 | F in octave 4} 16th,D3-interval class 3,0.25,120.66666666666667
Chord {A in octave 2 | G in octave 4} Zero,A2-interval class 2,0.0,124.33333333333333
Chord {G in octave 4 | D in octave 5} Eighth,G4-interval class 5,0.5,125.0
Chord {F in octave 4 | C in octave 5 | B in octave 4} Zero,B4-tritone-fourth,0.0,126.0
Chord {G in octave 3 | C-sharp in octave 4} Quarter,C#4-tritone,1.0,129.0
Chord {C in octave 3 | B-flat in octave 3} Dotted Half,C3-interval class 2,3.0,148.0
Chord {F in octave 5 | D in octave 5} Eighth Triplet (1/3 QL),D5-interval class 3,1/3,154.0
Chord {B in octave 2 | G-sharp in octave 3} 16th,G#3-interval class 3,0.25,155.66666666666666
